policy_annual_premium,umbrella_limit,capital_gains,capital_loss,incident_severity,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,property_claim,fraud_reported
1406.91,0,53300,0,1,5,1,1,13020,1
1197.22,5000000,0,0,0,8,1,0,780,1
1413.14,5000000,35100,0,0,7,3,2,3850,0
1415.74,6000000,48900,-62400,1,5,1,1,6340,1
1583.91,6000000,66000,-46000,0,20,1,0,650,0
1351.1,0,0,0,1,19,3,0,6410,1
1333.35,0,0,-77000,0,0,3,0,7150,0
1137.03,0,0,0,2,23,3,2,9380,0
1442.99,0,0,0,2,21,1,1,2770,0
1315.68,0,0,-39300,2,14,1,2,4700,0
1253.12,4000000,38400,0,2,22,1,2,15820,0
1137.16,0,0,-51000,1,21,3,1,17680,0
1215.36,3000000,0,0,2,9,1,1,9420,0
936.61,0,52800,-32800,0,5,1,1,1120,0
1301.13,0,41300,-55500,2,12,1,0,8400,1
1131.4,0,55700,0,1,12,4,0,10520,1
1199.44,5000000,63600,0,1,0,3,1,5790,0
708.64,6000000,53500,0,2,9,1,0,7080,0
1374.22,0,45500,-37800,2,19,1,1,13260,0
1475.73,0,57000,-27300,1,8,3,2,6040,0
1187.96,4000000,0,0,0,20,3,1,5240,0
875.15,0,46700,0,2,15,3,1,4730,0
972.18,0,72700,-68200,1,20,3,0,5960,1
1268.79,0,0,-31000,2,15,1,2,16360,1
883.31,0,0,-53500,0,6,1,1,14160,0
1266.92,0,0,0,1,16,3,1,11000,1
1322.1,0,0,-29200,0,4,1,1,820,0
848.07,3000000,31000,-30200,0,5,1,2,520,1
1291.7,0,0,-55600,0,21,1,1,15520,0
1104.5,0,0,0,0,5,1,2,14100,0
954.16,0,53200,0,1,22,4,0,12600,0
1337.28,8000000,27500,0,1,10,3,2,7460,1
1088.34,0,81100,0,2,16,3,2,3310,0
1558.29,0,51400,-64000,1,1,3,1,14020,0
1415.68,0,0,0,2,17,1,0,5400,0
1334.15,6000000,53300,-49200,1,15,1,2,5310,1
988.45,0,0,0,2,3,1,1,6020,1
1222.48,0,0,0,0,16,1,1,820,0
1155.55,0,65700,0,1,4,3,2,6230,0
1262.08,0,48500,0,1,4,1,0,10940,1
1451.62,0,0,-55700,0,19,1,2,4000,0
1737.66,0,0,-24100,1,1,1,1,16180,1
1475.93,0,0,-67400,0,17,3,1,5740,0
538.17,0,49700,-60200,2,23,1,2,5680,0
1081.08,0,36400,-28700,0,14,1,0,11280,0
1454.43,0,0,0,2,17,3,2,0,0
1240.47,0,35300,0,2,11,3,1,14020,0
1273.7,4000000,0,0,1,19,3,2,6280,1
1123.87,8000000,0,0,3,5,1,2,810,0
1245.89,0,0,-40300,2,19,1,0,7660,0
1326.62,7000000,0,0,0,19,3,0,8180,0
1073.83,0,0,0,3,4,1,1,660,0
1530.52,0,0,0,0,8,1,2,430,0
1201.41,0,88400,-46500,1,7,3,1,12820,0
1393.57,0,47600,-39600,0,5,1,0,480,0
1276.57,0,71500,0,0,3,1,1,7890,0
1082.49,0,36100,-55000,1,12,3,2,6270,0
1414.74,0,0,0,0,19,1,1,300,0
1470.06,0,56600,-45800,2,22,1,0,7310,0
870.63,0,94800,-58500,0,12,3,1,5720,0
795.23,0,36900,0,1,15,3,2,0,1
1168.2,0,69100,0,2,23,3,0,3690,0
993.51,0,0,-49500,0,12,1,0,11260,0
1848.81,0,0,-49000,1,20,3,2,5710,1
1641.73,5000000,62400,0,2,16,3,0,6570,1
1362.87,0,35700,0,0,6,3,2,6860,1
1239.22,7000000,43400,-91200,0,12,1,0,13800,1
835.02,0,59600,0,0,17,3,1,3770,0
1061.33,0,43300,-66200,1,8,1,0,6230,0
1279.08,0,0,-51500,0,13,1,0,860,0
1105.49,0,56200,-50000,1,12,2,2,6210,1
1055.53,0,37800,-50300,2,7,1,0,6810,1
895.83,0,0,0,0,10,1,1,0,0
1632.93,0,0,-42900,0,7,3,2,4760,0
1405.99,0,0,0,0,18,3,1,4770,0
1425.54,0,78300,0,2,22,3,2,5690,0
1038.09,0,0,-19700,0,18,3,1,7450,0
1307.11,0,0,0,2,22,3,0,10860,0
1489.24,6000000,0,-45000,0,15,1,2,1240,0
976.67,0,0,0,1,16,1,1,7220,1
1340.43,0,52700,-40600,0,6,3,1,10160,0
1267.81,5000000,0,0,3,10,1,2,1320,0
1234.2,6000000,0,0,0,3,1,2,1500,0
1318.06,0,57300,-80600,3,13,1,0,1180,0
769.95,0,0,-44200,1,16,2,2,11080,1
1514.72,0,35700,0,1,13,3,0,11660,0
873.64,4000000,800,0,0,9,3,2,11400,0
1612.43,0,36400,0,2,2,1,2,11680,0
1318.24,9000000,0,-78600,3,9,1,0,470,0
1226.83,0,0,-56100,1,12,3,2,5640,1
1326.44,5000000,0,0,2,12,2,1,10300,0
1136.83,4000000,0,-62400,1,14,1,0,17880,1
1322.78,0,55200,0,3,9,1,0,590,0
1483.25,0,90700,-20800,1,3,3,1,11780,0
1515.3,0,0,0,2,21,3,1,8520,0
1075.18,5000000,67700,-58400,0,5,1,2,630,0
1690.27,0,61500,0,1,11,1,0,6630,1
1352.83,0,0,-71700,0,4,4,1,7210,1
1148.73,0,0,0,3,6,1,1,900,0
969.5,0,0,0,3,10,1,0,700,0
1463.82,0,0,-72300,0,23,1,0,15860,0
1474.17,0,0,0,1,13,1,1,5280,0
1497.35,0,37300,-31700,0,16,3,2,3600,0
1427.14,0,35300,-58100,0,3,1,1,330,0
1495.1,0,50500,0,2,15,3,0,7790,0
1141.62,0,34300,-24300,0,4,1,1,480,0
1125.37,0,0,-56400,1,6,3,0,19950,1
1207.36,0,0,-57000,1,22,2,1,14840,0
1338.5,0,28800,0,1,1,1,0,10860,1
1074.07,0,0,-47500,1,16,3,0,11080,1
1337.56,0,0,0,0,18,1,1,14940,0
1298.91,6000000,52600,-38800,1,0,1,0,7000,1
1222.75,0,0,-41000,2,12,3,2,14740,0
1059.52,0,0,-40600,1,13,2,1,9620,0
1124.38,0,0,0,0,9,1,1,1180,0
1110.37,10000000,34400,-56800,2,14,3,0,9540,1
1374.22,0,62000,-63100,0,16,1,0,9320,0
1103.58,0,41200,-36200,1,20,3,2,12800,1
1269.76,0,44300,0,0,4,1,1,9000,0
964.79,8000000,58000,0,0,7,3,0,6620,0
1167.3,4000000,0,0,0,22,1,2,13860,0
1625.45,4000000,0,-53700,1,11,1,2,12760,1
1394.43,0,0,0,1,7,1,0,6160,1
1053.24,0,51100,0,2,0,4,1,17140,0
1040.75,0,0,0,2,1,1,1,7000,0
1302.4,6000000,47200,-69700,2,12,3,2,9900,0
1588.55,0,59600,-32100,2,8,1,0,5760,0
1399.26,0,70500,0,0,9,1,2,660,0
1352.31,0,40700,-47300,1,22,1,0,10640,1
1139.0,6000000,42400,0,1,0,3,1,4970,1
1397.67,0,57900,0,0,0,3,1,14120,0
823.17,0,0,0,1,3,3,2,12300,0
965.13,0,60000,-54800,1,21,3,0,8500,0
1922.84,0,0,-45200,2,0,1,2,9360,0
1624.82,0,65300,-65600,0,16,1,1,8680,0
1277.25,0,84900,0,1,14,1,1,6920,1
1439.34,0,45300,-20400,0,9,1,0,410,0
1281.27,0,68900,0,0,9,3,0,6550,0
1348.83,0,46300,-77500,0,21,3,1,6920,0
1198.15,0,0,-43200,2,19,3,0,12260,0
1221.22,0,76000,0,2,2,1,0,4730,0
968.74,0,0,-49000,3,9,1,2,940,0
1220.71,0,58600,-28700,0,5,1,2,1260,0
1238.62,6000000,0,-56200,1,14,1,2,14160,1
1320.75,0,54100,0,2,20,3,0,5070,0
990.98,0,0,-57900,1,18,1,2,15280,1
1398.51,4000000,0,-57100,1,13,3,2,6400,1
1355.08,0,58100,0,0,21,1,1,4730,0
1384.51,0,13100,-38200,1,14,1,2,8960,1
847.03,0,0,0,1,1,1,1,17280,1
1000.06,0,0,0,2,17,1,1,15040,0
1046.71,0,0,0,1,4,3,2,5340,0
1158.03,0,31900,-44600,2,23,3,1,9780,1
1372.27,0,17600,0,2,13,3,2,10540,0
1053.04,7000000,52000,-44500,0,20,3,1,9040,1
1275.39,0,0,0,1,16,1,2,0,1
1402.75,0,0,0,0,10,3,2,14420,0
1344.36,7000000,0,0,0,8,1,2,650,0
1197.71,0,29000,0,2,17,3,2,13040,0
1203.24,0,62500,-66900,0,9,1,2,620,0
1152.4,0,39600,-82400,0,0,1,2,1680,0
1142.62,7000000,0,-54000,2,12,1,2,11700,0
1332.07,0,49700,-59100,2,20,2,2,13240,0
1166.54,0,47700,-59300,1,3,1,2,21580,1
1495.06,0,38100,-31400,2,18,3,2,18180,0
1337.92,0,71400,0,0,4,3,2,5580,0
1587.96,0,0,-26900,1,18,1,2,12960,1
1362.29,0,0,-51100,0,18,3,0,6400,0
1448.84,0,0,-50000,3,7,1,0,660,0
1241.97,0,75400,0,0,18,1,1,670,0
1124.6,0,0,0,0,23,3,0,7960,0
1079.92,0,88800,0,2,1,1,0,6700,1
1447.78,0,35100,-59900,2,15,3,1,4990,0
1229.16,4000000,0,-88300,1,2,3,0,7400,0
1226.49,0,53900,0,3,3,1,0,1220,0
897.89,6000000,0,-41300,0,13,1,1,15920,0
1706.79,0,0,0,0,1,1,1,8560,0
1254.18,0,0,-45100,0,16,1,0,11380,0
885.08,0,27000,-58900,2,0,1,0,13100,0
1046.58,4000000,0,-31700,3,1,1,2,900,0
1712.68,0,72200,0,1,17,3,2,5110,0
1097.71,0,29600,-22300,0,13,1,2,16800,0
1363.77,4000000,51100,0,2,12,1,2,16540,0
1382.88,7000000,0,-30300,0,11,1,1,7440,1
1141.35,7000000,0,0,1,18,1,0,5490,0
1054.83,7000000,0,-51300,2,17,1,2,16120,1
1057.77,0,0,-57700,2,22,3,1,2250,0
1488.02,0,0,-39200,0,9,1,1,550,0
920.3,5000000,51000,-67900,1,11,3,1,6720,1
986.53,0,62700,0,2,11,1,0,18520,0
1440.68,0,25000,0,0,8,1,0,980,0
1086.21,0,68500,-57500,0,18,1,1,5610,0
1367.68,0,0,0,2,13,1,0,11100,0
1215.85,0,42900,-90200,0,8,1,1,640,0
1191.19,4000000,29300,0,2,9,3,0,0,0
1594.45,0,0,0,2,17,2,2,6960,0
1463.07,0,0,0,3,3,1,1,530,1
1734.09,0,0,0,3,6,1,0,650,0
1411.43,0,45100,-32800,1,17,1,2,11880,0
1512.58,0,47600,0,0,7,1,1,280,0
1153.35,0,0,0,3,9,1,2,960,0
1722.95,0,63100,-13800,0,3,1,2,7670,0
1281.07,7000000,0,0,3,6,1,0,740,0
1011.92,0,0,0,1,7,3,0,7150,0
1042.26,0,0,0,2,21,3,1,2120,0
1235.1,0,66400,-34400,0,14,1,2,5440,0
768.91,0,0,-39300,2,0,1,1,5980,1
1301.72,0,0,0,1,14,3,0,7200,0
1451.54,3000000,0,0,2,13,4,2,14460,0
767.14,0,25500,-36700,3,8,1,0,880,0
1620.89,0,0,0,0,7,1,2,1020,0
1048.46,0,59900,0,3,9,1,1,590,0
1538.26,6000000,62200,-31400,0,12,3,2,4290,0
1217.69,0,24000,0,1,6,3,1,9720,1
1362.64,5000000,0,0,2,11,1,1,13560,1
1279.13,0,0,0,0,5,3,1,14740,1
924.72,0,0,0,0,14,1,2,10520,0
1019.44,0,0,-39700,3,17,1,2,720,0
1314.6,0,24800,0,2,0,1,2,6390,1
1515.18,6000000,0,0,0,21,3,1,9260,0
1649.18,0,0,-58600,1,18,1,1,5580,1
1451.01,0,47800,0,0,17,1,2,5620,0
978.46,0,0,0,2,19,1,0,8920,0
1198.34,4000000,53000,-72500,2,17,3,1,6340,0
1003.23,0,0,0,1,23,3,0,12980,0
1212.0,0,24400,-60500,2,4,1,0,14700,0
1242.96,7000000,0,-37100,0,2,2,2,13680,0
1053.02,0,0,0,1,2,1,0,4330,1
1693.63,0,0,-64000,2,10,3,1,6560,0
2047.59,0,0,-67800,0,2,1,0,7230,0
1083.72,0,65600,-68200,2,18,1,0,4880,0
1138.42,6000000,36900,-55000,0,18,1,2,6100,0
1072.62,0,39900,-60200,2,7,4,2,6910,0
1219.04,0,63600,-68700,1,19,3,2,14500,0
1371.78,0,0,-32500,1,10,3,0,10720,1
1506.21,0,0,-24400,0,16,3,1,6380,0
1058.21,3000000,0,0,2,17,1,1,4570,0
932.14,0,40600,0,2,2,3,2,7150,1
1608.34,0,33300,-10600,1,19,1,1,12920,0
1728.56,0,54000,0,0,0,1,1,3530,0
1518.46,0,0,0,1,16,1,0,5350,0
1540.19,0,0,-74500,1,20,1,2,7370,1
965.21,0,36900,-53700,3,10,1,2,630,0
1278.75,0,53200,-53800,2,21,3,2,10900,0
773.99,0,0,-70300,3,3,1,1,320,0
1532.47,0,60300,-24700,1,7,1,0,15080,1
1340.56,0,0,0,0,19,1,0,6460,0
1297.75,4000000,0,-41400,2,15,3,0,15180,1
433.33,0,25900,0,0,7,1,0,590,0
1025.54,0,0,-52600,1,19,1,1,6410,0
1264.77,0,47500,-32500,2,13,2,0,10080,1
1459.97,5000000,0,0,1,2,3,1,14700,1
1238.65,0,0,-44600,3,5,1,1,680,0
1050.76,0,41500,-70200,1,21,1,2,5960,1
1711.72,0,0,0,1,21,3,2,11500,1
865.33,7000000,0,0,1,7,3,0,9840,0
1153.49,0,0,0,2,16,3,1,5050,0
1281.25,0,0,0,1,13,1,0,12820,1
1342.8,0,0,0,3,2,1,1,660,0
1443.32,0,0,0,1,19,3,0,5310,1
1629.94,0,0,-47100,3,17,1,0,350,0
1134.08,0,0,0,1,3,1,2,5900,1
1483.91,8000000,0,-33600,1,17,3,0,14120,1
1304.67,7000000,0,-45000,0,5,3,1,11180,0
1035.79,0,44400,-51500,0,9,1,1,10480,0
1401.2,0,51500,0,3,9,1,1,1060,0
1665.45,0,34400,-33100,1,9,3,2,5920,1
653.66,0,52100,-46900,0,22,3,0,7830,0
1080.13,0,0,-61000,1,15,3,0,4610,0
1346.18,0,57800,-53300,2,14,3,2,6270,0
1589.54,0,55400,0,0,6,3,2,8530,0
1251.65,0,71200,0,0,6,1,0,280,0
1083.01,0,91900,0,1,22,4,2,11040,1
974.59,0,62800,0,0,14,3,1,11940,0
1399.85,0,49900,-19800,0,16,3,0,10820,0
1307.74,0,0,-75700,1,10,3,0,4170,0
1219.27,0,53100,-63400,2,9,3,1,7120,0
1411.3,0,55600,0,0,4,1,1,5490,1
694.45,0,0,0,1,6,3,0,11700,1
1006.77,6000000,0,0,0,15,3,2,7090,0
1422.36,0,0,-83900,0,12,3,1,7760,0
1348.32,0,37600,-37600,3,3,1,2,860,1
1315.56,0,0,0,0,14,1,0,1240,0
1407.01,5000000,47400,-27600,1,10,1,0,5990,1
1388.58,0,0,-49400,1,17,3,1,13260,0
1310.76,0,0,-40900,2,8,1,0,6390,0
1004.63,6000000,26900,0,2,14,3,2,11620,0
1134.91,0,68700,0,3,6,1,1,640,0
1194.0,0,0,0,1,6,1,1,7420,1
1248.25,4000000,0,-33300,0,8,1,0,1460,0
1338.54,-1000000,0,0,1,13,1,0,17120,0
782.23,0,64200,-32300,2,0,3,0,11460,0
1366.9,0,0,-15700,1,14,3,1,10540,1
1275.81,0,0,-48300,0,13,1,2,15540,0
1090.65,0,0,-51800,0,16,4,1,5340,1
1326.0,0,0,-54600,2,13,1,1,12020,0
972.47,0,0,-58100,0,15,3,2,15420,0
806.31,0,0,0,3,3,1,2,0,0
1416.24,0,0,0,0,7,1,1,540,0
1097.64,0,27100,0,1,16,2,1,21240,0
947.75,0,0,-39300,3,15,1,1,640,0
1018.73,5000000,20000,-82700,2,21,3,1,21630,0
1400.74,0,34000,-55600,1,23,3,0,17460,0
1155.53,5000000,0,-35200,3,5,1,0,630,0
1386.93,0,54100,-77600,0,15,3,0,6580,0
915.29,0,82400,-57100,1,14,1,2,4080,1
1239.55,2000000,0,0,1,1,1,1,9600,1
1366.42,0,44000,0,2,14,3,1,5910,1
1086.48,6000000,0,-53800,2,17,3,1,7040,0
1247.87,0,0,-39700,2,20,3,2,4570,0
1312.75,0,81300,0,1,10,3,2,14680,1
765.64,0,0,-22200,1,3,3,0,5700,1
1327.41,0,0,-38600,2,0,1,0,7000,0
1338.55,0,39000,0,2,10,3,2,6800,0
1316.63,8000000,43900,0,0,13,3,2,13000,0
1286.44,0,0,-39500,0,14,1,2,15100,0
1372.18,0,0,0,2,22,3,1,15100,0
1447.77,0,39400,-63900,2,8,3,1,10720,0
903.32,0,0,0,0,1,3,1,3170,0
1454.42,0,51600,-73900,1,19,1,0,12380,1
1603.42,0,61600,-30200,2,17,1,0,6710,0
1616.58,0,58500,-46800,1,13,3,0,12720,0
1611.83,0,0,0,2,4,1,1,3280,0
889.13,0,0,0,2,14,3,0,4910,0
1252.08,0,0,0,1,4,2,2,5040,1
995.56,0,0,-65400,2,23,3,1,8840,0
1347.92,0,0,-42100,2,21,3,0,6050,0
1724.09,0,0,0,0,23,3,0,11960,0
1379.93,0,0,0,1,6,3,0,4710,1
1554.64,4000000,0,-27900,1,21,1,1,10120,1
1377.94,0,0,0,1,23,1,2,4960,0
1313.33,0,53500,-73600,1,3,3,1,14120,1
1259.02,0,67000,-53600,3,8,1,2,940,0
1371.88,0,0,0,3,4,1,2,580,0
1399.27,6000000,38900,-48700,2,22,1,0,6680,0
1061.98,6000000,0,0,0,16,1,0,7250,0
1365.46,4000000,0,-56600,0,14,3,2,4920,0
894.4,0,0,-53700,2,13,1,2,7810,0
956.69,0,39600,-64300,0,20,1,1,8710,0
1123.89,0,35400,-49200,2,0,3,1,4580,0
1085.03,0,0,-61000,2,23,3,2,6480,1
1437.33,0,25000,0,0,13,1,1,12800,0
988.29,0,0,0,1,8,1,2,10520,1
1238.89,0,0,0,0,3,1,0,960,0
1384.64,5000000,0,0,2,16,1,2,11100,1
1595.07,0,75800,0,0,19,1,0,11820,0
1127.89,6000000,67400,-43800,0,0,1,2,6580,0
929.7,6000000,46400,-74300,2,12,1,2,5270,0
1829.63,0,56700,0,2,21,3,1,6150,0
904.7,7000000,68600,-22300,1,0,1,1,14840,1
1243.84,0,47900,-73400,0,22,1,1,12980,0
1030.95,0,47200,0,1,20,3,1,3590,1
1285.03,3000000,0,-41500,0,0,1,1,10440,0
1216.56,0,67400,-83200,0,20,1,0,13000,0
966.26,0,56400,-32800,0,1,3,0,6720,0
1203.17,0,56700,-65600,2,11,1,0,5750,0
1212.12,0,65600,0,1,14,3,1,5730,0
1573.93,0,30400,0,0,20,3,0,10840,0
1609.67,0,0,-13200,1,22,1,1,13800,1
1097.57,0,0,0,2,12,1,1,6170,0
1618.65,2000000,0,-42600,1,3,3,2,7810,1
922.67,0,47400,0,1,15,3,2,9360,1
1342.02,0,0,0,3,8,1,0,450,0
1195.01,0,60700,-54300,1,13,3,0,6100,1
994.74,0,0,-55300,0,8,1,2,620,1
1050.24,0,30700,0,0,7,1,0,720,1
1313.51,7000000,68500,0,3,9,1,2,280,0
1102.29,0,73000,-37900,0,15,1,1,6000,0
1185.78,0,0,-60700,0,5,1,0,8900,1
1527.95,0,69400,0,1,15,4,0,15560,0
1366.39,0,0,-22400,1,22,3,2,5840,0
1403.9,0,0,0,2,16,2,1,8020,0
927.23,0,51500,0,2,7,1,1,6760,0
1554.86,6000000,59000,0,0,2,1,1,680,1
736.07,6000000,45700,0,0,17,4,0,10380,0
974.16,6000000,0,-56800,2,12,3,1,4860,0
973.8,0,0,-85900,1,9,1,1,6620,0
1260.32,6000000,0,-79800,2,16,1,1,4550,0
1464.03,0,0,0,0,19,3,2,4420,0
617.11,0,0,-54100,1,14,3,1,5080,1
1724.46,6000000,81800,0,2,18,3,1,4420,0
1161.31,0,64800,-24300,0,23,1,1,5720,0
1091.73,0,36100,-42300,0,15,3,0,5550,1
1209.07,0,0,0,0,18,1,0,6270,1
1241.04,0,0,0,0,16,1,2,18220,0
1757.21,0,46400,0,0,12,3,1,5460,0
802.24,0,0,-62500,1,16,1,0,5570,0
1342.72,0,0,-45300,2,21,1,1,6940,0
1209.41,5000000,0,0,2,15,3,0,11420,0
1141.71,2000000,36700,-73400,1,21,1,1,6770,0
1090.03,0,0,-51000,1,1,1,0,4840,0
1464.73,3000000,54900,-36700,2,17,3,0,5720,0
1118.58,0,0,-36600,2,5,3,2,10340,0
1117.04,0,0,-42700,2,15,3,1,5460,0
1257.83,7000000,40700,-41600,1,2,4,2,9540,1
1082.72,0,61400,-57500,0,3,1,2,580,0
1191.8,6000000,55600,0,1,19,1,1,12220,0
1242.02,0,0,-28800,0,17,1,0,7490,0
1075.71,0,0,-47400,3,7,1,0,290,0
969.88,6000000,0,0,0,21,1,1,6410,0
1459.93,0,0,0,2,10,2,1,14180,0
1245.61,0,0,0,2,11,1,1,9180,0
1462.76,0,69200,-36900,1,23,3,2,4080,1
1398.46,0,0,0,0,14,1,0,15060,0
1269.64,0,48800,0,0,10,1,1,15360,1
1455.65,4000000,0,-66300,2,6,3,2,7980,0
1140.31,0,29300,-64700,0,10,3,0,9640,0
1330.46,0,54800,-64100,2,5,3,0,4400,0
1190.6,0,0,-45300,0,17,1,1,7860,0
972.5,0,0,0,3,3,1,2,580,0
1161.91,0,0,-50400,0,9,1,0,650,0
1117.17,0,0,-29900,3,6,1,2,1240,0
1101.51,0,64000,0,0,22,3,2,11580,0
1523.17,0,0,0,1,10,3,1,15760,0
984.45,0,0,0,0,4,1,1,780,0
1257.0,4000000,63900,-43700,2,23,1,1,11140,0
1434.51,0,0,0,2,19,1,0,8930,0
1628.0,0,0,0,2,22,1,1,5560,0
1412.31,0,0,0,3,6,1,1,500,0
1362.87,5000000,56900,-56900,0,6,1,2,14740,0
1134.68,0,0,0,1,18,1,2,13860,0
1306.78,0,0,0,2,22,1,1,20280,0
1021.9,0,0,0,1,21,1,0,14040,0
1538.6,0,0,-54700,0,12,1,0,12120,0
1354.5,0,52800,0,1,6,3,0,12960,1
1282.93,0,0,0,1,0,4,0,12160,1
1346.27,0,44900,-91400,2,11,1,0,5820,0
1338.4,4000000,63600,0,0,19,1,1,6730,0
949.44,0,0,-38400,1,22,3,0,8710,1
977.4,0,82200,0,2,2,1,2,11140,0
1181.46,10000000,0,-67400,2,16,4,1,5670,0
1187.53,0,83200,-53300,2,23,3,0,0,0
845.16,0,0,0,1,21,1,1,6130,1
1442.27,0,67900,0,0,10,1,2,5850,0
1276.43,0,0,0,1,12,1,0,6660,0
1075.41,0,55200,0,2,6,1,1,7340,0
1111.72,0,54600,0,1,6,1,1,4650,0
814.96,6000000,68500,0,3,7,1,2,1280,1
1575.86,0,0,0,3,3,1,1,290,0
1115.27,0,0,-66000,3,10,1,2,590,0
1175.7,0,0,0,2,14,1,0,6370,0
793.15,0,54600,-45500,2,17,3,0,13660,0
942.51,0,0,0,1,16,1,0,19200,1
1056.71,0,77900,0,0,3,1,2,580,0
1255.68,6000000,23600,-15600,0,7,1,0,1480,0
1335.13,0,44000,-71000,2,13,1,1,6090,1
1178.95,6000000,0,-67300,2,20,1,2,9880,0
1793.16,0,0,0,0,23,1,2,6250,0
1008.38,0,37900,0,2,11,1,1,6150,0
1396.83,0,0,0,1,0,4,0,13980,0
1402.78,5000000,70300,-50300,0,2,1,0,12460,0
1437.88,0,42800,-51200,2,3,1,2,0,0
1313.64,0,12100,0,3,3,1,1,390,0
1482.14,0,33000,-43600,2,15,3,2,6750,0
1171.75,0,46500,-42700,0,23,1,2,4430,0
1353.33,0,0,-8500,0,9,3,2,17300,0
1175.51,0,0,0,0,20,1,0,680,0
1836.02,0,38000,-41200,1,5,1,2,6650,1
1480.79,9000000,0,-12100,2,15,1,0,17260,0
1453.92,0,51700,0,0,13,1,2,7950,0
1340.71,0,0,0,0,16,1,2,13860,1
714.03,0,0,-17000,0,0,1,0,9920,0
1376.16,0,38600,-50300,1,10,3,2,5970,1
914.22,0,37900,-72900,2,14,3,2,7690,0
1601.47,0,64400,0,2,1,3,2,6850,0
1096.79,6000000,45500,-60600,1,16,1,2,8140,0
1078.22,0,54500,0,1,2,3,0,5310,0
1595.28,0,0,0,1,23,3,0,3510,0
1217.84,5000000,49600,0,0,19,3,2,9600,0
1117.42,0,0,-51900,0,23,3,2,11820,0
1567.37,0,62500,0,1,10,1,2,11660,1
1294.93,6000000,38000,-50300,0,12,3,1,0,0
1152.12,0,0,-62400,2,15,3,2,15080,0
1441.21,0,0,0,3,3,1,1,1180,0
1575.74,7000000,0,-68900,0,19,1,2,1180,1
1233.96,0,34500,-60600,2,16,3,1,5590,0
1861.43,0,60400,-67800,1,16,1,0,6380,1
1570.86,0,66000,0,2,10,1,0,7270,1
791.47,0,0,0,0,6,1,1,1260,1
1012.78,0,43700,0,1,18,1,2,19020,1
1047.06,6000000,0,0,1,20,3,0,6350,0
1390.29,0,0,-41200,0,14,1,0,6290,0
951.46,0,0,-35500,1,8,3,0,6630,1
1226.78,0,49600,-49200,0,17,2,2,8150,0
1280.9,0,48900,-40900,0,9,1,2,5000,0
1472.77,0,0,-31700,2,0,1,2,8780,0
1878.44,0,0,-76000,2,2,1,0,5370,0
1418.5,0,0,0,0,23,3,0,6330,0
1532.8,0,0,0,2,8,1,0,11960,0
1304.35,0,0,0,2,6,3,0,11600,1
1551.61,0,45000,-30400,0,3,1,1,250,0
1326.98,6000000,64200,0,0,14,3,1,9020,0
862.92,0,0,-71700,1,16,3,0,11580,0
1331.69,0,0,0,0,12,1,1,10300,0
1486.04,0,0,-56200,1,1,3,2,6410,1
870.55,0,0,-49400,0,19,1,0,13380,0
