policy_annual_premium,umbrella_limit,capital_gains,capital_loss,incident_severity,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,property_claim,fraud_reported
1344.56,6000000,0,-39100,3,7,1,1,0,0
1377.04,0,61400,-41100,0,6,4,1,6620,0
1237.88,0,0,-46900,1,11,1,0,5780,1
1525.86,0,0,0,0,2,1,1,6670,0
854.58,0,52200,0,0,15,1,2,23670,0
770.76,0,0,-53700,1,0,1,0,4980,0
1132.74,0,0,-37500,1,12,1,1,14080,0
1173.37,8000000,0,-42700,2,1,1,1,0,0
1188.28,6000000,0,-53800,1,16,2,1,5980,1
876.88,6000000,0,0,0,2,1,2,6370,0
1143.95,0,51400,0,0,13,3,2,5930,0
1409.06,0,74200,-68100,0,0,1,2,14520,0
1070.63,0,0,0,2,0,3,0,12320,0
916.13,0,55300,-58400,2,16,3,2,12360,0
1191.5,0,38600,-52900,2,8,1,2,8900,0
1474.66,0,0,-46200,3,9,1,2,820,0
1193.45,0,0,0,2,11,1,2,5880,0
1437.53,0,0,0,0,6,3,0,5970,1
1304.83,0,0,0,2,18,1,0,10100,0
1168.8,0,0,-42400,2,11,1,0,3250,0
1164.97,0,43000,-42500,2,17,1,1,7140,0
1232.72,0,87800,-51200,1,21,3,1,14660,1
1800.76,0,0,-78600,0,0,3,1,4780,0
1187.01,7000000,46300,-33000,3,9,1,0,640,0
1559.34,0,0,-51600,2,1,1,0,7000,0
1137.02,0,31500,0,2,22,1,1,16020,0
1281.72,0,33500,-49500,0,20,4,0,4340,0
796.35,0,72400,-77000,2,9,3,2,10720,0
1270.02,0,0,-45800,0,5,1,1,240,0
1383.13,0,46700,0,3,12,1,1,1060,0
1290.74,5000000,58300,0,1,6,3,2,14340,0
1216.68,0,55100,0,3,8,1,1,300,0
1251.16,0,41400,0,2,14,1,0,6330,0
1586.41,0,33500,-58900,1,10,1,1,13740,1
1526.11,5000000,0,0,0,12,1,2,15040,0
1028.44,0,0,0,1,12,1,0,7360,0
1555.94,0,23300,0,2,12,3,1,13180,0
1570.77,0,98800,-65300,0,13,1,0,620,0
1170.53,0,65000,-49200,2,17,3,1,11380,0
1099.95,0,0,-71900,1,14,1,1,6550,1
1472.43,0,0,-90600,1,3,3,1,11560,0
1275.62,0,0,-56200,0,18,3,2,6140,0
1292.3,0,47600,0,0,5,1,1,470,1
1009.37,0,45400,-39400,2,19,1,0,13480,0
1093.07,4000000,27700,-72400,1,0,1,2,13860,0
1325.44,7000000,51400,-6300,3,22,1,0,830,0
1017.18,0,0,0,1,21,3,1,8740,0
1221.17,0,49300,0,0,4,3,0,11340,0
1927.87,0,0,0,0,10,1,0,5410,1
978.27,0,65700,0,1,5,1,1,7640,0
1221.14,0,48100,0,2,13,1,0,13720,0
1255.62,0,0,0,1,18,3,2,6900,1
999.52,0,0,0,0,6,1,1,720,0
1380.89,0,30000,-53000,0,0,3,2,12220,0
1010.77,0,52300,-55600,2,5,3,0,4250,0
1205.86,0,0,-34600,0,8,1,0,7200,0
1526.61,0,0,-32900,0,5,1,2,840,1
1496.44,0,0,0,3,9,1,2,1260,0
1256.2,0,0,0,0,10,3,1,8340,0
1268.35,0,0,0,1,16,1,2,14060,1
1421.59,0,0,0,3,8,1,2,450,0
1500.04,6000000,0,-36500,0,5,1,0,860,0
1433.24,0,0,-19500,2,11,3,2,2730,1
1231.25,0,46500,0,0,15,3,1,9760,0
1135.43,0,22700,0,2,23,3,1,3900,0
945.73,5000000,38600,-42800,0,23,1,0,8410,1
1118.76,0,0,-55800,2,23,1,1,6840,0
1231.98,0,0,-31700,0,10,1,0,5530,0
1005.47,0,58100,-49000,0,12,4,2,5770,0
1108.97,0,68400,-66800,0,4,1,2,16620,0
1392.39,5000000,0,-65700,0,16,1,2,5430,0
1317.97,0,34700,-81000,1,18,3,1,5380,1
1588.22,0,0,-53800,2,15,3,1,8460,0
900.02,6000000,0,-49900,2,8,1,1,6970,0
1744.64,3000000,0,0,2,4,3,0,7280,0
1260.56,0,0,-54900,0,20,3,0,4690,0
1021.14,0,69500,-47700,1,1,3,2,14380,0
1285.09,0,48000,-79600,1,19,1,0,15060,1
1537.07,3000000,0,0,2,11,1,1,4740,1
1022.42,0,50000,-56900,2,13,1,0,14220,0
1558.86,0,51100,-75100,0,2,1,2,6940,0
1757.87,0,71400,0,1,9,3,2,10000,1
973.5,0,50400,0,2,15,2,1,7860,0
1430.8,0,0,0,1,23,1,2,19260,1
1192.27,0,0,-40200,2,16,1,2,12240,0
1163.83,0,37700,0,1,21,4,2,13840,0
1003.15,0,0,-38500,0,21,2,2,13080,0
1153.54,6000000,0,-57000,0,3,3,0,12380,0
1631.1,0,0,0,3,4,1,1,670,0
1252.48,0,0,-55800,0,17,1,1,510,0
1677.26,0,40100,0,3,7,1,1,510,0
979.73,0,51700,0,1,14,2,1,14480,1
989.24,0,0,0,1,13,1,2,7090,0
1389.86,0,0,0,2,23,2,2,6510,0
1233.85,0,0,0,2,23,3,2,14280,0
1320.39,0,0,0,1,16,1,2,21810,1
1435.09,0,36600,0,2,17,1,2,6290,0
1448.54,0,58600,0,1,9,1,1,7690,1
1733.56,0,0,-43800,1,13,3,2,14840,0
1533.07,0,0,-28800,1,13,1,1,6500,0
1106.77,0,45500,-62500,3,3,1,2,500,0
995.7,5000000,0,0,3,3,1,2,1000,1
1298.85,6000000,71300,-70300,1,16,3,1,12100,0
1276.73,5000000,0,0,1,12,3,1,6880,0
1202.28,0,0,-61400,0,4,1,1,4370,1
671.92,0,0,-26400,0,3,1,2,7120,0
1358.03,0,59300,-31400,2,0,1,2,10000,1
1008.79,4000000,46000,0,3,19,1,2,550,0
1141.1,0,0,0,0,15,2,0,11940,0
1397.0,0,0,0,0,6,1,1,6860,0
1664.66,0,0,-66200,2,3,1,0,5750,0
1151.39,4000000,0,-63900,0,17,1,0,1740,0
1546.01,0,0,0,2,4,4,2,7710,0
1063.67,0,0,0,0,14,1,2,6600,0
709.14,0,0,0,0,3,3,1,4990,0
1039.55,0,55600,-59700,0,4,3,2,13460,0
1339.39,0,0,0,2,13,1,1,11180,0
1202.75,0,57900,-90100,0,23,3,0,13260,0
1081.17,0,0,-65200,0,3,1,0,490,0
991.39,0,45600,-61400,2,0,3,1,14140,0
984.02,0,75800,0,1,14,2,2,14940,1
1354.83,0,66300,0,0,14,2,2,4060,0
830.31,0,0,-32600,2,22,1,1,10060,0
987.42,7000000,0,0,0,17,3,0,8560,0
1119.29,0,0,0,0,14,1,0,4070,1
1048.39,0,0,0,0,2,1,2,3150,0
1074.47,0,0,0,3,4,1,2,400,0
1230.76,0,0,-74200,1,2,1,1,14360,1
1255.02,0,58200,0,0,10,1,1,1120,0
1555.52,0,43600,-67800,1,11,1,1,7750,0
836.11,5000000,0,0,1,1,4,1,6070,0
1450.98,0,43700,0,3,20,1,0,1100,0
625.08,0,44200,-37000,1,10,1,2,7990,1
1133.27,0,0,-56400,2,20,2,0,5500,1
1366.6,0,0,0,0,10,3,2,16040,0
1439.9,6000000,0,-48400,2,2,2,1,4880,0
1230.69,0,0,-54600,0,19,1,0,5380,0
1307.68,0,0,-48500,1,10,1,1,9060,1
1124.69,0,0,0,1,14,1,0,4940,0
1520.78,0,0,-42900,3,5,1,0,260,1
1609.11,0,0,0,0,8,1,2,1220,0
1358.91,0,0,0,3,4,1,0,1340,0
1295.87,0,0,0,1,4,3,1,5080,1
1161.03,5000000,45300,0,0,20,2,1,5190,0
1441.06,0,53800,-78300,2,18,1,2,16300,0
1097.99,0,44400,-71500,2,0,3,0,0,0
1464.42,0,79900,0,1,1,1,2,5660,0
1543.68,0,20200,0,1,17,1,0,4720,1
1390.89,5000000,0,-74400,0,23,1,2,4860,0
1148.58,0,0,-71200,2,4,3,2,5710,0
1616.26,0,50700,-57600,2,0,3,2,7040,0
1398.94,0,0,0,0,11,1,1,13660,0
1238.92,0,57800,-53700,3,4,1,0,920,0
968.46,0,50800,-66200,2,0,3,0,13200,1
1045.12,0,0,-28300,1,2,3,0,15540,1
1537.33,0,0,-74800,0,11,3,1,15540,0
912.3,0,58500,-44000,1,23,3,2,12500,1
1007.28,6000000,0,0,0,17,3,1,16560,0
1189.98,4000000,0,-54700,0,22,1,1,8060,0
1576.41,0,0,-55100,1,18,1,1,9500,0
1172.82,4000000,82100,0,3,8,1,1,390,0
1312.22,9000000,0,-33300,0,15,3,0,5940,1
671.01,7000000,42900,-61500,0,20,1,2,6690,0
895.14,0,52600,-30400,0,4,1,0,4360,0
1373.21,0,42700,-64900,2,10,3,0,12560,0
1625.65,0,0,0,1,10,1,1,5950,0
1295.63,4000000,42200,-33800,2,22,3,1,5940,0
1459.96,6000000,41300,-42000,2,15,3,0,7580,0
1219.94,7000000,0,-51000,0,13,1,0,12620,0
1064.49,5000000,73500,-43300,2,23,1,2,10480,1
959.83,0,0,-38700,1,18,3,2,11600,1
1767.02,0,0,-49300,2,7,1,1,8400,0
1285.01,0,0,-39800,1,21,1,2,5850,0
1422.95,0,0,0,1,15,3,1,11040,0
1223.39,0,0,0,2,17,3,1,8180,0
1539.06,0,37800,0,0,2,1,0,10700,0
988.06,0,0,0,0,1,3,1,4040,0
1740.57,0,0,-18600,1,3,1,0,3720,0
1540.91,7000000,40900,0,3,0,1,1,960,0
1381.88,5000000,0,-77800,3,4,1,0,420,0
1446.98,0,0,-45700,0,11,3,2,5270,0
1220.86,0,55400,-40400,3,4,1,1,960,0
948.1,0,44500,-61400,0,11,3,0,6930,0
1471.24,0,57500,-93600,0,4,3,2,4060,0
1157.97,0,0,-64500,2,20,1,2,6720,0
566.11,5000000,0,0,3,22,1,0,440,0
1060.88,0,0,-66500,3,4,1,0,1100,0
1524.45,4000000,0,-44800,2,21,4,0,4270,1
1556.17,0,63900,-53300,1,20,1,1,7320,1
1216.24,0,26700,-47200,1,7,1,2,10000,0
1484.72,5000000,0,0,3,4,1,0,320,0
1203.81,0,52500,-51300,0,17,3,0,20550,0
1393.34,0,0,-61400,0,20,3,1,12480,0
1484.48,0,50700,-36300,1,10,1,2,11460,0
1581.27,5000000,42200,-48000,0,8,1,2,11540,0
1281.25,0,0,-53100,1,6,1,0,4040,1
1667.83,0,48500,-67400,0,4,1,1,1200,0
1497.41,0,14100,-44500,0,17,3,2,9650,0
803.36,0,0,0,2,15,3,0,11400,0
1221.41,0,46700,-72500,3,9,1,2,300,0
1865.83,5000000,32800,-50600,2,17,1,2,8600,0
1434.27,0,0,-35900,1,13,1,2,10020,0
1114.68,0,44500,-55900,3,5,1,1,480,0
1218.56,0,39300,-60300,2,23,3,2,5730,1
1234.69,9000000,0,0,1,1,2,2,7440,1
964.92,0,45700,0,1,17,4,2,3530,1
1351.72,0,0,-49400,0,3,1,1,480,0
817.28,0,62200,0,2,17,3,1,9260,1
1389.59,0,0,-42600,1,23,3,1,7560,1
1353.53,0,54700,-47900,0,13,1,0,0,1
1294.04,0,0,0,0,17,1,2,6610,0
840.81,0,0,0,0,2,1,0,7510,1
998.19,0,43700,-66300,2,23,3,1,19650,1
1090.32,0,0,-70400,0,17,1,1,5710,1
1780.67,0,0,0,1,3,1,1,7020,1
1681.01,0,0,-51100,0,16,1,2,1470,0
1395.77,0,82600,-49500,1,13,3,1,11080,1
1471.44,5000000,57500,0,1,8,1,2,9160,1
1265.72,0,0,-59500,1,23,1,0,9900,0
1274.7,5000000,47500,-58700,1,15,3,2,11080,1
1330.39,0,0,0,2,3,1,2,9980,0
1122.95,4000000,78000,0,0,4,3,0,12480,0
1655.79,0,0,0,0,8,1,0,16280,0
935.77,0,0,-36000,3,21,1,1,650,0
1192.04,0,66100,-31400,2,23,1,0,11160,0
990.11,0,0,-41200,3,8,1,1,1060,0
1422.21,0,0,-46400,1,21,1,2,17180,1
914.85,0,72100,0,0,5,1,2,1580,0
1123.84,0,48200,0,2,12,3,0,3360,0
838.02,0,0,0,0,7,3,2,6440,0
1300.68,0,49000,0,0,0,1,1,0,0
1173.21,0,0,0,1,14,1,0,7830,1
985.97,5000000,0,0,1,13,1,2,7470,1
1129.23,0,17300,-60400,1,1,1,1,5030,1
1194.83,0,28600,0,1,23,1,0,8840,0
1114.29,0,51300,0,1,1,1,2,6060,0
1509.04,0,10000,0,2,9,1,2,14240,0
664.86,0,0,-60000,2,3,1,0,16160,0
1267.4,6000000,0,0,0,0,1,2,5070,0
1119.23,0,51500,0,2,13,3,1,5690,0
1698.51,0,0,0,2,18,3,2,8640,0
1422.78,0,61600,0,2,17,3,2,5280,0
1212.75,0,0,-51400,0,11,1,0,13800,0
1423.34,0,55300,-37900,0,0,1,0,1400,0
976.37,0,0,-61000,0,14,3,1,6760,0
1124.59,6000000,67300,0,0,4,1,1,6800,0
1569.33,0,79600,0,1,2,3,2,13000,1
1359.36,5000000,0,-43600,1,9,3,2,6510,1
1607.36,0,0,0,1,21,4,0,12120,1
1042.25,0,0,-44400,1,0,3,2,20310,1
1453.95,0,38200,0,2,17,3,0,5860,0
1969.63,0,0,0,2,21,3,1,13900,0
1156.19,0,49900,-62700,1,20,3,0,4940,0
1124.47,0,0,-45100,2,5,1,0,16460,0
1493.5,5000000,39900,-44000,0,7,1,2,730,0
1155.38,0,34200,-32300,0,6,1,0,6390,0
878.19,0,57100,0,0,2,4,0,4830,0
1145.85,0,0,-40000,2,19,3,1,4610,0
1261.28,0,68500,-42100,0,21,3,2,7190,0
1427.46,0,0,0,1,3,3,0,8790,0
1592.41,0,58900,-29100,2,22,1,2,5340,0
1274.63,0,51000,0,2,22,1,2,9460,0
1362.31,0,67600,-65300,0,16,1,0,7460,0
919.37,0,83600,0,0,0,1,0,8060,0
1377.23,0,72600,0,0,1,3,2,11620,0
995.55,5000000,51500,-52100,1,19,3,0,12400,1
1508.12,6000000,0,0,1,0,3,2,6750,1
484.67,0,21100,-60800,1,2,3,0,11920,1
1561.41,0,21200,0,0,5,3,1,12780,0
1457.21,0,46300,0,2,6,1,2,5000,0
1128.71,0,0,-47100,2,21,3,2,6180,0
1358.2,0,52900,0,1,11,3,0,11740,0
1232.79,0,49900,-62100,0,3,1,2,14100,0
936.19,0,70600,-48500,2,4,3,2,5790,0
1302.34,0,0,-52600,0,2,3,1,10520,0
1264.99,0,67800,0,0,22,1,1,4200,0
1467.76,0,38700,-33100,2,8,1,1,6330,0
1124.43,0,0,0,2,14,3,0,4420,0
1319.81,0,67200,-59400,0,14,4,1,3520,0
1482.53,0,49100,-45100,3,5,1,1,20,0
1328.18,0,53000,0,0,18,1,2,6260,0
1463.95,0,0,0,2,20,3,0,6340,0
1133.85,0,60200,0,2,0,3,2,15120,0
1037.32,0,0,-15700,0,1,3,2,13480,0
1562.8,0,42800,-68200,2,10,1,1,4490,0
1425.79,0,62400,-52300,0,12,1,0,11560,0
1615.14,0,67100,0,0,6,1,0,680,0
1236.5,0,0,-48700,3,1,1,0,920,0
1017.97,0,59900,-34800,2,21,3,0,6520,1
1306.0,0,46100,-46900,1,3,3,2,3850,1
1174.14,0,50400,-61500,0,14,4,0,5370,0
1231.01,0,0,-31700,0,19,3,1,3160,0
1299.18,0,57100,0,1,7,1,2,8280,1
1469.75,0,0,-57600,0,0,1,0,3870,0
1390.72,0,83900,-52100,3,6,1,2,530,0
1694.09,7000000,0,0,2,0,1,0,9540,1
1140.15,0,0,-36800,2,9,3,0,8400,0
1310.71,0,29300,0,2,23,1,0,5770,0
1730.49,7000000,46300,-41700,0,13,3,2,9360,0
1616.65,7000000,0,-59500,2,0,3,0,5550,0
1935.85,4000000,49500,-81100,1,7,1,2,8430,1
855.14,0,37900,0,0,23,1,0,6140,0
1568.47,4000000,46800,0,1,7,1,2,5660,0
1550.53,0,0,-27700,3,20,1,0,660,0
1370.92,0,48900,0,0,22,1,0,6960,0
1363.59,0,43200,0,0,10,3,2,7950,0
828.42,3000000,0,0,2,10,1,2,5600,0
1209.63,0,64800,-44200,0,17,1,1,0,1
1111.17,0,35000,0,3,3,1,2,450,0
989.97,0,32500,0,0,10,1,0,9600,0
1114.23,0,0,0,1,1,1,0,5220,0
1347.31,0,80900,-111100,0,1,3,2,12300,0
1687.53,0,0,-69600,2,7,1,1,7820,0
1183.48,0,0,0,1,19,1,2,9200,1
1537.13,0,0,-58300,2,3,3,0,6340,0
1173.25,0,0,-34700,0,3,1,0,520,0
1361.16,4000000,0,-63700,0,23,1,2,5310,1
1422.56,7000000,26900,-55300,0,7,1,1,320,0
1143.06,0,63100,-54100,2,0,3,0,14580,0
1405.71,0,0,0,2,10,1,0,14140,0
1354.2,0,100500,0,0,4,4,0,10940,0
1055.6,0,69500,-40700,1,16,1,1,6800,1
999.43,0,25800,0,3,3,1,2,410,0
1155.97,0,0,0,0,5,1,0,11180,0
1726.91,0,0,0,3,14,1,0,1440,0
1232.57,0,59500,0,0,7,3,0,4100,0
1078.65,0,36800,0,0,16,1,2,6060,0
1324.78,0,0,-64500,1,6,1,2,7640,1
1518.54,0,0,0,2,10,1,1,10600,0
1239.06,0,34900,0,2,19,1,1,10420,0
1246.68,0,0,0,0,10,1,0,5900,0
1622.67,0,0,0,2,6,3,1,7470,0
1082.36,0,0,0,1,12,3,2,6050,0
1270.55,0,0,-72100,2,10,3,2,15440,1
1236.32,5000000,55100,0,2,0,1,2,11100,0
785.82,0,49700,0,1,12,3,2,6280,1
1265.84,0,52200,-44500,0,10,1,1,380,0
1508.9,0,0,0,2,3,4,0,11300,0
1106.84,0,43100,-31900,0,21,1,1,560,0
1389.13,7000000,0,-53200,0,6,1,0,1800,0
974.84,0,52100,0,2,0,1,0,7110,0
1304.46,0,51700,-33300,3,6,1,0,1080,1
1257.36,0,0,0,1,20,3,1,4670,1
1257.04,0,0,-48800,1,4,1,2,5160,0
719.52,0,45800,0,3,9,1,0,600,0
1524.18,0,0,0,0,20,3,1,5430,0
1395.58,0,0,0,0,7,1,2,860,0
1243.68,0,0,-71400,1,18,3,0,0,1
1189.04,0,59600,0,0,0,3,1,3980,0
1375.29,0,0,0,1,11,3,0,6240,1
1389.13,0,63100,-79400,2,13,1,0,10540,0
1387.51,0,0,0,0,19,3,1,7620,0
1178.61,7000000,0,-54400,1,23,1,1,19470,1
1166.62,6000000,0,0,3,23,1,0,570,0
1556.31,0,0,-75000,2,19,3,2,8630,0
1452.27,0,75800,0,1,19,1,1,9360,1
1212.07,0,66900,-51800,2,17,3,2,7040,0
1578.54,0,0,-41400,0,18,1,1,15180,0
1488.26,0,0,-63500,2,17,3,2,5790,0
1096.39,0,0,0,2,11,3,1,5490,0
1215.36,0,54400,0,0,22,3,0,6620,0
1482.57,0,35000,0,0,7,1,0,10680,0
954.18,0,0,0,0,17,3,2,4250,0
1193.4,0,0,-40800,2,16,3,2,4450,0
1023.11,0,0,-45300,0,13,3,1,10700,0
1524.45,0,73200,0,0,17,3,0,8240,0
1653.32,0,0,-48800,0,3,1,2,6780,0
1022.46,0,52700,0,0,15,3,0,7420,0
1396.43,0,21500,0,2,16,1,2,5270,0
1521.55,0,61100,-64500,1,18,1,1,6820,1
1034.27,0,0,0,0,18,1,1,7100,0
1255.35,0,60300,-58900,2,22,2,0,5930,0
1396.89,6000000,0,-61600,0,15,3,1,13380,1
795.31,0,0,-51000,1,16,3,1,7420,1
982.22,0,54500,-72100,2,18,1,1,7540,0
1074.07,0,70900,-61100,0,8,1,2,840,0
1311.3,0,38500,0,1,23,3,0,5850,1
1277.12,0,0,-46000,1,18,1,0,7680,0
1388.62,0,35200,0,0,10,1,1,6610,0
1406.52,8000000,0,0,1,12,1,0,4420,1
1558.29,0,0,-49300,3,5,1,1,1540,0
1132.47,4000000,46300,0,2,21,3,2,10240,0
1896.91,0,73700,0,1,17,3,1,10880,1
1143.46,4000000,0,0,2,4,1,2,9760,0
1285.42,0,0,0,1,11,1,1,6730,1
1305.26,0,66200,-49700,1,18,1,1,6680,1
1073.83,0,0,0,2,12,1,0,15580,0
1051.67,0,0,0,1,18,3,0,4270,1
1387.35,0,0,-72000,0,16,1,2,10220,0
1083.64,0,59800,0,2,19,3,0,13280,0
1851.78,0,78800,0,2,13,1,1,6860,0
1270.29,4000000,24000,-50500,0,4,1,0,640,0
1459.99,0,35900,0,1,8,1,1,6060,0
1253.44,0,0,0,1,19,3,2,5120,0
1142.48,0,0,0,2,18,1,2,4750,0
1188.45,0,0,-44800,2,9,2,0,10780,0
1125.4,0,40000,-43400,3,6,1,2,440,0
1294.41,0,0,0,0,8,1,0,1380,0
1459.5,0,0,0,0,6,1,1,1000,0
1367.99,0,26500,0,1,23,3,0,5520,1
1594.37,0,0,0,3,13,1,0,1320,0
1035.99,0,0,0,0,3,3,2,11760,0
911.53,0,53200,0,1,23,1,0,11840,0
1319.97,0,73700,0,0,8,1,1,940,0
1391.63,0,61200,0,2,23,1,0,6940,0
915.41,5000000,0,0,2,23,1,0,4050,0
1468.82,0,56800,-51800,0,9,3,2,10000,0
1412.76,0,66400,-63700,0,22,1,2,11220,0
1588.26,0,56700,-49300,2,22,3,2,8410,0
1140.91,0,51300,0,1,15,3,1,6430,1
1517.54,0,0,-20900,1,16,3,2,6440,0
912.29,0,42900,-39100,0,17,3,1,16180,0
1144.3,0,52600,0,0,3,1,1,500,0
1281.43,0,65100,-50300,2,10,3,0,6140,0
1101.85,0,46100,0,0,9,1,1,3720,0
1082.1,0,0,-30900,2,13,2,0,7270,0
1185.44,0,44900,-52500,1,15,3,2,7760,1
1175.07,0,30100,0,0,23,1,1,7980,0
979.26,0,0,-67000,1,2,4,0,14560,0
920.81,0,0,0,1,14,1,2,7910,1
922.85,0,70300,-70900,3,7,1,1,400,0
1107.59,3000000,65400,0,1,23,1,1,10440,0
1272.46,0,0,0,0,7,3,2,6330,0
1340.24,0,0,-68800,0,8,3,1,6910,1
1648.0,0,57700,-43500,2,17,1,1,4020,0
1381.14,0,0,0,0,10,3,0,10400,0
1198.44,8000000,0,0,0,9,1,0,560,0
951.27,0,42100,0,2,2,1,1,6890,0
1341.24,0,37100,-46500,0,18,3,0,2970,0
1177.57,0,0,-65500,0,4,1,2,860,0
1055.09,0,0,0,2,12,1,0,16640,1
1479.48,0,0,0,1,15,1,1,13580,1
1827.38,0,0,-15900,3,9,1,1,840,0
1169.62,0,0,0,1,6,1,0,10000,1
1516.34,0,11000,0,1,11,4,0,6600,1
1270.21,0,16100,-61200,2,13,3,1,0,0
809.11,0,33200,0,0,4,3,2,10280,0
1115.81,0,0,-59800,0,20,3,1,10840,0
1457.65,5000000,0,0,1,0,3,1,5820,0
1041.36,0,53100,-43900,2,18,4,2,13520,1
1693.83,7000000,44000,-20800,0,6,1,1,5340,0
1685.69,0,31400,0,2,23,1,2,14360,0
1054.92,6000000,51900,0,1,4,1,0,0,1
1333.97,6000000,61100,-30700,1,21,3,1,11100,1
1013.61,6000000,45700,-41400,0,7,1,1,860,0
958.3,0,47900,0,1,19,3,0,8520,0
1112.04,6000000,52800,-54300,0,5,1,1,780,0
1206.26,0,69900,0,0,22,3,0,7850,0
763.67,0,12800,-49700,2,12,1,1,7870,0
1042.56,0,0,-66100,2,19,3,0,7560,0
1263.48,4000000,46800,-87300,1,10,1,2,10600,1
1006.99,6000000,0,0,0,7,1,0,4840,0
1328.26,0,42300,-45800,2,17,1,1,6760,0
1250.08,5000000,0,-57700,2,0,3,2,11360,0
982.7,6000000,30800,-43700,0,9,1,1,470,0
1412.06,5000000,60100,0,2,21,1,0,5770,0
1066.7,0,0,0,2,22,3,0,14920,0
1585.54,0,42600,-44400,0,3,1,1,840,0
1416.08,0,0,-36600,0,16,1,0,5020,0
1246.03,0,61900,-50000,2,14,1,0,4510,0
1356.64,0,67800,-48600,2,21,3,0,15120,0
1387.7,4000000,0,0,0,19,1,2,15660,0
1004.14,0,35400,0,1,13,3,1,4800,0
1107.07,0,0,-45300,0,21,1,0,600,0
1429.96,0,67800,0,0,11,3,1,5720,0
1074.99,0,0,-48800,3,16,1,2,690,0
1007.0,0,30400,-89400,2,9,1,0,12320,0
1052.85,0,0,-70100,0,8,1,0,480,0
1200.33,4000000,0,-36400,0,7,1,2,780,1
1343.0,0,64600,0,0,12,1,0,9040,0
1441.6,5000000,0,0,0,21,3,0,12580,0
1433.42,6000000,53800,0,1,4,1,1,10840,1
1368.57,0,0,0,1,18,3,2,10360,0
862.19,0,69400,0,3,7,1,2,1200,0
871.46,0,58500,-77700,2,13,1,2,6740,0
1863.04,0,53400,-35200,2,0,1,2,6780,0
1181.64,0,25800,0,1,22,1,1,11080,1
1060.74,0,0,-51500,1,15,1,2,4910,1
951.56,0,59400,-78600,1,3,3,2,7560,1
1533.71,9000000,0,-70900,2,18,2,0,12100,0
1200.09,0,38400,-5700,1,17,3,2,7040,0
1093.83,4000000,0,-49600,1,18,3,1,8880,1
988.93,0,27600,0,2,11,1,2,15380,0
1331.94,0,0,-55400,2,17,1,0,9920,0
1361.45,0,39300,0,0,12,1,0,7470,0
1188.51,0,0,-65800,2,15,3,1,12220,0
1101.83,0,28900,0,0,0,3,0,10380,1
840.95,0,32500,-80800,3,9,1,2,430,0
1503.21,0,55700,-49900,2,1,1,2,11420,0
1722.5,0,0,-21500,1,22,1,0,7690,0
944.03,0,0,-58400,0,11,1,2,7700,1
1453.61,4000000,0,0,1,10,1,0,9280,1
1672.88,0,0,0,0,5,1,1,6070,0
1248.05,0,37500,-54000,2,3,3,1,0,0
1564.43,3000000,77500,-32800,0,18,1,2,3810,0
1280.88,0,59400,-32200,2,21,1,0,5220,0
722.66,0,50300,0,1,6,3,1,7340,0
1235.14,0,0,-32100,2,20,3,0,6020,0
1347.04,0,0,-82100,0,6,1,1,1080,0
1310.8,0,0,0,0,20,1,0,8720,0
1436.79,0,70900,0,1,23,1,2,18080,0
1383.49,3000000,35100,0,0,4,3,2,7500,0
1356.92,5000000,0,0,1,2,1,0,5220,0
766.19,0,0,0,0,6,1,0,920,0
